Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"Y. Xie","Heterogeneous graph neural networks for noisy few-shot relation classification",2020,"Knowledge-Based Systems","","https://api.elsevier.com/content/article/eid/1-s2.0-S0950705120300447","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078805424&origin=inward",1,"2022-03-25 09:07:57","Article","10.1016/j.knosys.2020.105548","0950-7051","https://api.elsevier.com/content/abstract/scopus_id/85078805424",194,,,,13,6.50,13,1,2,"","",""
1,"Y. Xiao","Adaptive Prototypical Networks With Label Words and Joint Representation Learning for Few-Shot Relation Classification",2021,"IEEE Transactions on Neural Networks and Learning Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114730693&origin=inward",2,"2022-03-25 09:07:57","Article","10.1109/TNNLS.2021.3105377","2162-237X","https://api.elsevier.com/content/abstract/scopus_id/85114730693",,,,,1,1.00,1,1,1,"","",""
1,"Y. Xie","Multi-channel convolutional neural networks with adversarial training for few-shot relation classification (student abstract)",2020,"AAAI 2020 - 34th AAAI Conference on Artificial Intelligence","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85106595187&origin=inward",3,"2022-03-25 09:07:57","Conference Paper","","","https://api.elsevier.com/content/abstract/scopus_id/85106595187",,,13967,13968,1,0.50,1,1,2,"","",""
0,"B. Lv","DPNet: domain-aware prototypical network for interdisciplinary few-shot relation classification",2022,"Applied Intelligence","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85126538260&origin=inward",4,"2022-03-25 09:07:57","Article","10.1007/s10489-022-03210-2","0924-669X","https://api.elsevier.com/content/abstract/scopus_id/85126538260",,,,,0,0.00,0,1,1,"","",""
0,"Y. Gao","A Few-shot Learning Method Based on Bidirectional Encoder Representation from Transformers for Relation Extraction",2021,"Proceedings of the IEEE International Conference on Software Engineering and Service Sciences, ICSESS","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114961497&origin=inward",5,"2022-03-25 09:07:57","Conference Paper","10.1109/ICSESS52187.2021.9522191","2327-0586","https://api.elsevier.com/content/abstract/scopus_id/85114961497",2021,,158,161,0,0.00,0,1,1,"","",""
0,"C. Huang","Co-Attention Based Few-Shot Relation Classification Model with Dynamic Routing",2020,"Proceedings of 2020 IEEE 3rd International Conference on Information Systems and Computer Aided Education, ICISCAE 2020","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096357779&origin=inward",6,"2022-03-25 09:07:57","Conference Paper","10.1109/ICISCAE51034.2020.9236846","","https://api.elsevier.com/content/abstract/scopus_id/85096357779",,,660,666,0,0.00,0,1,2,"","",""
